country,neighbor
"Afghanistan", "China"
"Afghanistan", "Iran"
"Afghanistan", "Pakistan"
"Afghanistan", "Tajikistan"
"Afghanistan", "Turkmenistan"
"Afghanistan", "Uzbekistan"
"Angola", "Congo, the Democratic Republic of the"
"Angola", "Congo"
"Angola", "Namibia"
"Angola", "Zambia"
"Albania", "Greece"
"Albania", "Kosovo"
"Albania", "Macedonia"
"Albania", "Montenegro"
"Andorra", "Spain"
"Andorra", "France"
"United Arab Emirates", "Oman"
"United Arab Emirates", "Saudi Arabia"
"Argentina", "Bolivia, Plurinational State of"
"Argentina", "Brazil"
"Argentina", "Chile"
"Argentina", "Paraguay"
"Argentina", "Uruguay"
"Armenia", "Azerbaijan"
"Armenia", "Georgia"
"Armenia", "Iran"
"Armenia", "Turkey"
"Austria", "Switzerland"
"Austria", "Czech Republic"
"Austria", "Germany"
"Austria", "Hungary"
"Austria", "Italy"
"Austria", "Liechtenstein"
"Austria", "Slovakia"
"Austria", "Slovenia"
"Azerbaijan", "Armenia"
"Azerbaijan", "Georgia"
"Azerbaijan", "Iran"
"Azerbaijan", "Russian Federation"
"Azerbaijan", "Turkey"
"Burundi", "Congo, the Democratic Republic of the"
"Burundi", "Rwanda"
"Burundi", "Tanzania"
"Belgium", "Germany"
"Belgium", "France"
"Belgium", "Luxembourg"
"Belgium", "Netherlands"
"Benin", "Burkina Faso"
"Benin", "Niger"
"Benin", "Nigeria"
"Benin", "Togo"
"Burkina Faso", "Benin"
"Burkina Faso", "Côte d'Ivoire"
"Burkina Faso", "Ghana"
"Burkina Faso", "Mali"
"Burkina Faso", "Niger"
"Burkina Faso", "Togo"
"Bangladesh", "India"
"Bangladesh", "Myanmar"
"Bulgaria", "Greece"
"Bulgaria", "Macedonia"
"Bulgaria", "Romania"
"Bulgaria", "Serbia"
"Bulgaria", "Turkey"
"Bosnia and Herzegovina", "Croatia"
"Bosnia and Herzegovina", "Montenegro"
"Bosnia and Herzegovina", "Serbia"
"Belarus", "Lithuania"
"Belarus", "Latvia"
"Belarus", "Poland"
"Belarus", "Russian Federation"
"Belarus", "Ukraine"
"Belize", "Guatemala"
"Belize", "Mexico"
"Bolivia, Plurinational State of", "Argentina"
"Bolivia, Plurinational State of", "Brazil"
"Bolivia, Plurinational State of", "Chile"
"Bolivia, Plurinational State of", "Peru"
"Bolivia, Plurinational State of", "Paraguay"
"Brazil", "Argentina"
"Brazil", "Bolivia, Plurinational State of"
"Brazil", "Colombia"
"Brazil", "France"
"Brazil", "Guyana"
"Brazil", "Peru"
"Brazil", "Paraguay"
"Brazil", "Suriname"
"Brazil", "Uruguay"
"Brazil", "Venezuela"
"Brunei Darussalam", "Malaysia"
"Bhutan", "China"
"Bhutan", "India"
"Botswana", "Namibia"
"Botswana", "South Africa"
"Botswana", "Zimbabwe"
"Central African Republic", "Cameroon"
"Central African Republic", "Congo, the Democratic Republic of the"
"Central African Republic", "Congo"
"Central African Republic", "Sudan"
"Central African Republic", "South Sudan"
"Central African Republic", "Chad"
"Canada", "United States"
"Switzerland", "Austria"
"Switzerland", "Germany"
"Switzerland", "France"
"Switzerland", "Italy"
"Switzerland", "Liechtenstein"
"Chile", "Argentina"
"Chile", "Bolivia, Plurinational State of"
"Chile", "Peru"
"China", "Afghanistan"
"China", "Bhutan"
"China", "Hong Kong"
"China", "India"
"China", "Kashmir"
"China", "Kazakhstan"
"China", "Kyrgyzstan"
"China", "Lao People's Democratic Republic"
"China", "Macao"
"China", "Myanmar"
"China", "Mongolia"
"China", "Nepal"
"China", "Pakistan"
"China", "Korea, Democratic People's Republic of"
"China", "Russian Federation"
"China", "Tajikistan"
"China", "Viet Nam"
"Côte d'Ivoire", "Burkina Faso"
"Côte d'Ivoire", "Ghana"
"Côte d'Ivoire", "Guinea"
"Côte d'Ivoire", "Liberia"
"Côte d'Ivoire", "Mali"
"Cameroon", "Central African Republic"
"Cameroon", "Congo"
"Cameroon", "Gabon"
"Cameroon", "Equatorial Guinea"
"Cameroon", "Nigeria"
"Cameroon", "Chad"
"Congo, the Democratic Republic of the", "Angola"
"Congo, the Democratic Republic of the", "Burundi"
"Congo, the Democratic Republic of the", "Central African Republic"
"Congo, the Democratic Republic of the", "Congo"
"Congo, the Democratic Republic of the", "Rwanda"
"Congo, the Democratic Republic of the", "South Sudan"
"Congo, the Democratic Republic of the", "Tanzania"
"Congo, the Democratic Republic of the", "Uganda"
"Congo, the Democratic Republic of the", "Zambia"
"Congo", "Angola"
"Congo", "Central African Republic"
"Congo", "Cameroon"
"Congo", "Congo, the Democratic Republic of the"
"Congo", "Gabon"
"Colombia", "Brazil"
"Colombia", "Ecuador"
"Colombia", "Panama"
"Colombia", "Peru"
"Colombia", "Venezuela"
"Costa Rica", "Nicaragua"
"Costa Rica", "Panama"
"Unknown Country0", "Cyprus"
"Cyprus", "Unknown Country0"
"Czech Republic", "Austria"
"Czech Republic", "Germany"
"Czech Republic", "Poland"
"Czech Republic", "Slovakia"
"Germany", "Austria"
"Germany", "Belgium"
"Germany", "Switzerland"
"Germany", "Czech Republic"
"Germany", "Denmark"
"Germany", "France"
"Germany", "Luxembourg"
"Germany", "Netherlands"
"Germany", "Poland"
"Djibouti", "Eritrea"
"Djibouti", "Ethiopia"
"Djibouti", "Eritrea"
"Denmark", "Germany"
"Dominican Republic", "Haiti"
"Algeria", "Libya"
"Algeria", "Morocco"
"Algeria", "Mali"
"Algeria", "Mauritania"
"Algeria", "Niger"
"Algeria", "Western Sahara"
"Algeria", "Tunisia"
"Ecuador", "Colombia"
"Ecuador", "Peru"
"Egypt", "Israel"
"Egypt", "Libya"
"Egypt", "Palestinian Territory, Occupied"
"Egypt", "Sudan"
"Eritrea", "Djibouti"
"Eritrea", "Ethiopia"
"Eritrea", "Sudan"
"Spain", "Andorra"
"Spain", "France"
"Spain", "Portugal"
"Estonia", "Latvia"
"Estonia", "Russian Federation"
"Ethiopia", "Djibouti"
"Ethiopia", "Eritrea"
"Ethiopia", "Kenya"
"Ethiopia", "Sudan"
"Ethiopia", "South Sudan"
"Ethiopia", "Eritrea"
"Ethiopia", "Somalia"
"Finland", "Norway"
"Finland", "Russian Federation"
"Finland", "Sweden"
"France", "Andorra"
"France", "Belgium"
"France", "Brazil"
"France", "Switzerland"
"France", "Germany"
"France", "Spain"
"France", "Italy"
"France", "Luxembourg"
"France", "Monaco"
"France", "Suriname"
"Gabon", "Cameroon"
"Gabon", "Congo"
"Gabon", "Equatorial Guinea"
"United Kingdom", "Ireland"
"Georgia", "Armenia"
"Georgia", "Azerbaijan"
"Georgia", "Russian Federation"
"Georgia", "Turkey"
"Ghana", "Burkina Faso"
"Ghana", "Côte d'Ivoire"
"Ghana", "Togo"
"Guinea", "Côte d'Ivoire"
"Guinea", "Guinea-Bissau"
"Guinea", "Liberia"
"Guinea", "Mali"
"Guinea", "Senegal"
"Guinea", "Sierra Leone"
"Gambia", "Senegal"
"Guinea-Bissau", "Guinea"
"Guinea-Bissau", "Senegal"
"Equatorial Guinea", "Cameroon"
"Equatorial Guinea", "Gabon"
"Greece", "Albania"
"Greece", "Bulgaria"
"Greece", "Macedonia"
"Greece", "Turkey"
"Guatemala", "Belize"
"Guatemala", "Honduras"
"Guatemala", "Mexico"
"Guatemala", "El Salvador"
"Guyana", "Brazil"
"Guyana", "Suriname"
"Guyana", "Venezuela"
"Hong Kong", "China"
"Honduras", "Guatemala"
"Honduras", "Nicaragua"
"Honduras", "El Salvador"
"Croatia", "Bosnia and Herzegovina"
"Croatia", "Hungary"
"Croatia", "Montenegro"
"Croatia", "Serbia"
"Croatia", "Slovenia"
"Haiti", "Dominican Republic"
"Hungary", "Austria"
"Hungary", "Croatia"
"Hungary", "Romania"
"Hungary", "Serbia"
"Hungary", "Slovakia"
"Hungary", "Slovenia"
"Hungary", "Ukraine"
"Indonesia", "Malaysia"
"Indonesia", "Papua New Guinea"
"Indonesia", "Timor-Leste"
"India", "Bangladesh"
"India", "Bhutan"
"India", "China"
"India", "Kashmir"
"India", "Myanmar"
"India", "Nepal"
"India", "Pakistan"
"Ireland", "United Kingdom"
"Iran", "Afghanistan"
"Iran", "Armenia"
"Iran", "Azerbaijan"
"Iran", "Iraq"
"Iran", "Pakistan"
"Iran", "Turkmenistan"
"Iran", "Turkey"
"Iraq", "Iran"
"Iraq", "Jordan"
"Iraq", "Kuwait"
"Iraq", "Saudi Arabia"
"Iraq", "Syrian Arab Republic"
"Iraq", "Turkey"
"Israel", "Egypt"
"Israel", "Jordan"
"Israel", "Lebanon"
"Israel", "Palestinian Territory, Occupied"
"Israel", "Syrian Arab Republic"
"Italy", "Austria"
"Italy", "Switzerland"
"Italy", "France"
"Italy", "San Marino"
"Italy", "Slovenia"
"Jordan", "Iraq"
"Jordan", "Israel"
"Jordan", "Palestinian Territory, Occupied"
"Jordan", "Saudi Arabia"
"Jordan", "Syrian Arab Republic"
"Kashmir", "China"
"Kashmir", "India"
"Kashmir", "Pakistan"
"Kazakhstan", "China"
"Kazakhstan", "Kyrgyzstan"
"Kazakhstan", "Russian Federation"
"Kazakhstan", "Turkmenistan"
"Kazakhstan", "Uzbekistan"
"Kenya", "Ethiopia"
"Kenya", "South Sudan"
"Kenya", "Somalia"
"Kenya", "Tanzania"
"Kenya", "Uganda"
"Kyrgyzstan", "China"
"Kyrgyzstan", "Kazakhstan"
"Kyrgyzstan", "Tajikistan"
"Kyrgyzstan", "Uzbekistan"
"Cambodia", "Lao People's Democratic Republic"
"Cambodia", "Thailand"
"Cambodia", "Viet Nam"
"Korea", "Korea, Democratic People's Republic of"
"Kosovo", "Albania"
"Kosovo", "Macedonia"
"Kosovo", "Montenegro"
"Kosovo", "Serbia"
"Kuwait", "Iraq"
"Kuwait", "Saudi Arabia"
"Lao People's Democratic Republic", "China"
"Lao People's Democratic Republic", "Cambodia"
"Lao People's Democratic Republic", "Myanmar"
"Lao People's Democratic Republic", "Thailand"
"Lao People's Democratic Republic", "Viet Nam"
"Lebanon", "Israel"
"Lebanon", "Syrian Arab Republic"
"Liberia", "Côte d'Ivoire"
"Liberia", "Guinea"
"Liberia", "Sierra Leone"
"Libya", "Algeria"
"Libya", "Egypt"
"Libya", "Niger"
"Libya", "Sudan"
"Libya", "Chad"
"Libya", "Tunisia"
"Liechtenstein", "Austria"
"Liechtenstein", "Switzerland"
"Lesotho", "South Africa"
"Lithuania", "Belarus"
"Lithuania", "Latvia"
"Lithuania", "Poland"
"Lithuania", "Russian Federation"
"Luxembourg", "Belgium"
"Luxembourg", "Germany"
"Luxembourg", "France"
"Latvia", "Belarus"
"Latvia", "Estonia"
"Latvia", "Lithuania"
"Latvia", "Russian Federation"
"Macao", "China"
"Saint Martin (French part)", "Sint Maarten (Dutch part)"
"Morocco", "Algeria"
"Morocco", "Western Sahara"
"Monaco", "France"
"Moldova", "Romania"
"Moldova", "Ukraine"
"Mexico", "Belize"
"Mexico", "Guatemala"
"Mexico", "United States"
"Macedonia", "Albania"
"Macedonia", "Bulgaria"
"Macedonia", "Greece"
"Macedonia", "Kosovo"
"Macedonia", "Serbia"
"Mali", "Burkina Faso"
"Mali", "Côte d'Ivoire"
"Mali", "Algeria"
"Mali", "Guinea"
"Mali", "Mauritania"
"Mali", "Niger"
"Mali", "Senegal"
"Myanmar", "Bangladesh"
"Myanmar", "China"
"Myanmar", "India"
"Myanmar", "Lao People's Democratic Republic"
"Myanmar", "Thailand"
"Montenegro", "Albania"
"Montenegro", "Bosnia and Herzegovina"
"Montenegro", "Croatia"
"Montenegro", "Kosovo"
"Montenegro", "Serbia"
"Mongolia", "China"
"Mongolia", "Russian Federation"
"Mozambique", "Malawi"
"Mozambique", "Swaziland"
"Mozambique", "Tanzania"
"Mozambique", "South Africa"
"Mozambique", "Zambia"
"Mozambique", "Zimbabwe"
"Mauritania", "Algeria"
"Mauritania", "Mali"
"Mauritania", "Western Sahara"
"Mauritania", "Senegal"
"Malawi", "Mozambique"
"Malawi", "Tanzania"
"Malawi", "Zambia"
"Malaysia", "Brunei Darussalam"
"Malaysia", "Indonesia"
"Malaysia", "Thailand"
"Namibia", "Angola"
"Namibia", "Botswana"
"Namibia", "South Africa"
"Namibia", "Zambia"
"Niger", "Benin"
"Niger", "Burkina Faso"
"Niger", "Algeria"
"Niger", "Libya"
"Niger", "Mali"
"Niger", "Nigeria"
"Niger", "Chad"
"Nigeria", "Benin"
"Nigeria", "Cameroon"
"Nigeria", "Niger"
"Nigeria", "Chad"
"Nicaragua", "Costa Rica"
"Nicaragua", "Honduras"
"Netherlands", "Belgium"
"Netherlands", "Germany"
"Norway", "Finland"
"Norway", "Russian Federation"
"Norway", "Sweden"
"Nepal", "China"
"Nepal", "India"
"Oman", "United Arab Emirates"
"Oman", "Saudi Arabia"
"Oman", "Yemen"
"Pakistan", "Afghanistan"
"Pakistan", "China"
"Pakistan", "India"
"Pakistan", "Iran"
"Pakistan", "Kashmir"
"Panama", "Colombia"
"Panama", "Costa Rica"
"Peru", "Bolivia, Plurinational State of"
"Peru", "Brazil"
"Peru", "Chile"
"Peru", "Colombia"
"Peru", "Ecuador"
"Papua New Guinea", "Indonesia"
"Poland", "Belarus"
"Poland", "Czech Republic"
"Poland", "Germany"
"Poland", "Lithuania"
"Poland", "Russian Federation"
"Poland", "Slovakia"
"Poland", "Ukraine"
"Korea, Democratic People's Republic of", "China"
"Korea, Democratic People's Republic of", "Korea"
"Korea, Democratic People's Republic of", "Russian Federation"
"Portugal", "Spain"
"Paraguay", "Argentina"
"Paraguay", "Bolivia, Plurinational State of"
"Paraguay", "Brazil"
"Palestinian Territory, Occupied", "Egypt"
"Palestinian Territory, Occupied", "Israel"
"Palestinian Territory, Occupied", "Jordan"
"Qatar", "Saudi Arabia"
"Romania", "Bulgaria"
"Romania", "Hungary"
"Romania", "Moldova"
"Romania", "Serbia"
"Romania", "Ukraine"
"Russian Federation", "Azerbaijan"
"Russian Federation", "Belarus"
"Russian Federation", "China"
"Russian Federation", "Estonia"
"Russian Federation", "Finland"
"Russian Federation", "Georgia"
"Russian Federation", "Kazakhstan"
"Russian Federation", "Lithuania"
"Russian Federation", "Latvia"
"Russian Federation", "Mongolia"
"Russian Federation", "Norway"
"Russian Federation", "Poland"
"Russian Federation", "Korea, Democratic People's Republic of"
"Russian Federation", "Ukraine"
"Rwanda", "Burundi"
"Rwanda", "Congo, the Democratic Republic of the"
"Rwanda", "Tanzania"
"Rwanda", "Uganda"
"Western Sahara", "Algeria"
"Western Sahara", "Morocco"
"Western Sahara", "Mauritania"
"Saudi Arabia", "United Arab Emirates"
"Saudi Arabia", "Iraq"
"Saudi Arabia", "Jordan"
"Saudi Arabia", "Kuwait"
"Saudi Arabia", "Oman"
"Saudi Arabia", "Qatar"
"Saudi Arabia", "Yemen"
"Sudan", "Central African Republic"
"Sudan", "Egypt"
"Sudan", "Eritrea"
"Sudan", "Ethiopia"
"Sudan", "Libya"
"Sudan", "South Sudan"
"Sudan", "Chad"
"South Sudan", "Central African Republic"
"South Sudan", "Congo, the Democratic Republic of the"
"South Sudan", "Ethiopia"
"South Sudan", "Kenya"
"South Sudan", "Sudan"
"South Sudan", "Uganda"
"Senegal", "Guinea"
"Senegal", "Gambia"
"Senegal", "Guinea-Bissau"
"Senegal", "Mali"
"Senegal", "Mauritania"
"Sierra Leone", "Guinea"
"Sierra Leone", "Liberia"
"El Salvador", "Guatemala"
"El Salvador", "Honduras"
"San Marino", "Italy"
"Eritrea", "Djibouti"
"Eritrea", "Ethiopia"
"Eritrea", "Somalia"
"Somalia", "Ethiopia"
"Somalia", "Kenya"
"Somalia", "Eritrea"
"Serbia", "Bulgaria"
"Serbia", "Bosnia and Herzegovina"
"Serbia", "Croatia"
"Serbia", "Hungary"
"Serbia", "Kosovo"
"Serbia", "Macedonia"
"Serbia", "Montenegro"
"Serbia", "Romania"
"Suriname", "Brazil"
"Suriname", "France"
"Suriname", "Guyana"
"Slovakia", "Austria"
"Slovakia", "Czech Republic"
"Slovakia", "Hungary"
"Slovakia", "Poland"
"Slovakia", "Ukraine"
"Slovenia", "Austria"
"Slovenia", "Croatia"
"Slovenia", "Hungary"
"Slovenia", "Italy"
"Sweden", "Finland"
"Sweden", "Norway"
"Swaziland", "Mozambique"
"Swaziland", "South Africa"
"Sint Maarten (Dutch part)", "Saint Martin (French part)"
"Syrian Arab Republic", "Iraq"
"Syrian Arab Republic", "Israel"
"Syrian Arab Republic", "Jordan"
"Syrian Arab Republic", "Lebanon"
"Syrian Arab Republic", "Turkey"
"Chad", "Central African Republic"
"Chad", "Cameroon"
"Chad", "Libya"
"Chad", "Niger"
"Chad", "Nigeria"
"Chad", "Sudan"
"Togo", "Benin"
"Togo", "Burkina Faso"
"Togo", "Ghana"
"Thailand", "Cambodia"
"Thailand", "Lao People's Democratic Republic"
"Thailand", "Myanmar"
"Thailand", "Malaysia"
"Tajikistan", "Afghanistan"
"Tajikistan", "China"
"Tajikistan", "Kyrgyzstan"
"Tajikistan", "Uzbekistan"
"Turkmenistan", "Afghanistan"
"Turkmenistan", "Iran"
"Turkmenistan", "Kazakhstan"
"Turkmenistan", "Uzbekistan"
"Timor-Leste", "Indonesia"
"Tunisia", "Algeria"
"Tunisia", "Libya"
"Turkey", "Armenia"
"Turkey", "Azerbaijan"
"Turkey", "Bulgaria"
"Turkey", "Georgia"
"Turkey", "Greece"
"Turkey", "Iran"
"Turkey", "Iraq"
"Turkey", "Syrian Arab Republic"
"Tanzania", "Burundi"
"Tanzania", "Congo, the Democratic Republic of the"
"Tanzania", "Kenya"
"Tanzania", "Mozambique"
"Tanzania", "Malawi"
"Tanzania", "Rwanda"
"Tanzania", "Uganda"
"Tanzania", "Zambia"
"Uganda", "Congo, the Democratic Republic of the"
"Uganda", "Kenya"
"Uganda", "Rwanda"
"Uganda", "South Sudan"
"Uganda", "Tanzania"
"Ukraine", "Belarus"
"Ukraine", "Hungary"
"Ukraine", "Moldova"
"Ukraine", "Poland"
"Ukraine", "Romania"
"Ukraine", "Russian Federation"
"Ukraine", "Slovakia"
"Uruguay", "Argentina"
"Uruguay", "Brazil"
"United States", "Canada"
"United States", "Mexico"
"Uzbekistan", "Afghanistan"
"Uzbekistan", "Kazakhstan"
"Uzbekistan", "Kyrgyzstan"
"Uzbekistan", "Tajikistan"
"Uzbekistan", "Turkmenistan"
"Venezuela", "Brazil"
"Venezuela", "Colombia"
"Venezuela", "Guyana"
"Viet Nam", "China"
"Viet Nam", "Cambodia"
"Viet Nam", "Lao People's Democratic Republic"
"Yemen", "Oman"
"Yemen", "Saudi Arabia"
"South Africa", "Botswana"
"South Africa", "Lesotho"
"South Africa", "Mozambique"
"South Africa", "Namibia"
"South Africa", "Swaziland"
"South Africa", "Zimbabwe"
"Zambia", "Angola"
"Zambia", "Congo, the Democratic Republic of the"
"Zambia", "Mozambique"
"Zambia", "Malawi"
"Zambia", "Namibia"
"Zambia", "Tanzania"
"Zambia", "Zimbabwe"
"Zimbabwe", "Botswana"
"Zimbabwe", "Mozambique"
"Zimbabwe", "South Africa"
"Zimbabwe", "Zambia"